#TYPE Selected.Microsoft.PowerShell.Commands.MatchInfo
"Path","LineNumber","Line"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\Block.java","9","/*import com.besome.sketch.define.BlockBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\Block.java","10","import com.besome.sketch.define.DefineBlock;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\Block.java","11","import com.besome.sketch.lib.utils.StringUtil;*/"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\Block.java","15","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\BlockArg.java","28","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\BlockBase.java","13","//import com.besome.sketch.lib.utils.LayoutUtil;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\BlockBean.java","6","//import com.besome.sketch.lib.base.BaseBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\BlockPane.java","8","/*import com.besome.sketch.define.BlockBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\BlockPane.java","9","import com.besome.sketch.lib.utils.LayoutUtil;*/"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","5","/*import com.besome.sketch.define.BlockBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","6","import com.besome.sketch.define.ComponentBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","7","import com.besome.sketch.define.EventBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","8","import com.besome.sketch.define.ViewBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","9","import com.besome.sketch.editor.logic.block.Block;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","10","import com.besome.sketch.editor.src.SourceUtil;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\DesignDataManager.java","11","import com.besome.sketch.lib.utils.SharedPreferenceUtil;*/"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LakiAsdDialog.java","14","import mod.hey.studios.code.SrcCodeEditor;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LakiAsdDialog.java","15","import mod.hey.studios.util.Helper;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LakiAsdDialog.java","16","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LakiDialogBox.java","23","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LogicEditorActivity.java","14","import com.besome.sketch.lib.base.BaseAppCompatActivity;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LogicEditorActivity.java","52","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LogicEditorActivity.java","53","import com.besome.sketch.editor.logic.LogicTopMenu;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\LogicEditorActivity.java","55","import com.besome.sketch.beans.BlockBean;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\PaletteBlock.java","10","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\PaletteSelector.java","10","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\PaletteSelector.java","11","//import com.besome.sketch.lib.utils.LayoutUtil;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\PaletteSelectorItem.java","10","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\PaletteSelectorItem.java","11","//import com.besome.sketch.lib.utils.LayoutUtil;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\VariableNameValidator.java","9","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\ViewDummy.java","13","import laki.webide.R;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\ViewDummy.java","14","/*import com.besome.sketch.editor.logic.block.Block;"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\ViewDummy.java","15","import com.besome.sketch.lib.utils.LayoutUtil;*/"
"C:\MyProjects\ad\Laki Web IDE\app\src\main\java\laki\webide\core\ViewLogicEditor.java","6","//import com.besome.sketch.editor.logic.block.BlockPane;"
